$9
NodeId:0	0.746749550383,0.749440694624,1,15,66,96
NodeId:1	1.24287951159,1.24796203144,37,72
NodeId:10	0.904057985239,0.907809286134,38,4,6,67,78,80
NodeId:11	0.656832775388,0.659528905204,28,40,49,51,6,67,89
NodeId:12	1.00890002936,1.01266529965,24,28,50,55,67,85,98
NodeId:13	0.920048843719,0.92374956828,25,32,33,35,76
NodeId:14	0.332763301987,0.333407799423,36,39,44,62,98
NodeId:15	1.22654614311,1.23162910746,47,70,79,95,97
NodeId:16	0.628788914731,0.631015005056,45,52,67,80
NodeId:17	0.558956428569,0.561002240547,18,39,41,53,63,72,79,99
NodeId:18	1.02450766422,1.02874216833,52,61,62,87
NodeId:19	0.895053158197,0.898703908125,27,33,37,45,92
NodeId:2	1.02988187545,1.03392048101,31,63
NodeId:20	1.16123258899,1.16629464168,7,94
NodeId:21	1.38950397653,1.0
NodeId:22	1.05864145809,1.0629523897,25,65,72,83,97
NodeId:23	0.57687603851,0.579047632836,92,99
NodeId:24	1.03182346989,1.03547095615,10,18,38,55,9,93,94
NodeId:25	0.824614389201,0.827578737934,63
NodeId:26	0.841580150291,0.84473466676,15,23,28,64
NodeId:27	1.35011225972,1.35573515878,32,68,70,92
NodeId:28	0.888413652988,0.891789793725,21,25,72
NodeId:29	0.876603260003,0.880036586645,18,23,31,36,86
NodeId:3	0.754091378396,0.756782873428,30,42,45,86
NodeId:30	0.880147602848,0.883469246247,80,84,95
NodeId:31	2.16569742697,2.17557516129,29,36,46,49,54,62,70,85
NodeId:32	0.988744041956,0.99268249412,2,27,3,47,6,69,71,91
NodeId:33	1.00926434682,1.01335001702,2,56,58,86
NodeId:34	0.982501389333,0.986804166964,0,7,77,78
NodeId:35	0.498307178734,0.499634021769,12,18,62,64,65,66,83,91
NodeId:36	0.779795287864,0.78262506503,12,20,30,34,61,75,77,99
NodeId:37	1.33463032445,1.3404068609,40,59,71,97
NodeId:38	1.17579970379,1.18082812734,30,41,98
NodeId:39	1.143655661,1.14852434657,31,43,68,71,92
NodeId:4	0.751342795682,0.754570049364,24,42,46,86
NodeId:40	0.734952320511,0.737485432856,7,71,72,73
NodeId:41	0.95885046913,0.962452017312,44,45,49,66
NodeId:42	0.580025566846,0.58202257509,36,45,70,89,99
NodeId:43	0.924163222947,0.928142807148,21,24,4,56,67,68,80,86,90
NodeId:44	0.63645345995,0.638592577668,17,37,38
NodeId:45	1.46267807925,1.46881473917,18,53,58,83,86,90
NodeId:46	0.829543454882,0.832594646848,78
NodeId:47	0.516463133084,0.518081443765,14,5,52,70,73
NodeId:49	1.16048922407,1.16510753864,2,29,31,39,84
NodeId:5	0.485665269118,0.487156063146,2,24,50,61,81,9,98
NodeId:50	0.839969943474,0.843197118836,0,20,46,68
NodeId:51	0.93865560563,0.942530855208,38,45,61,71
NodeId:52	0.846487727784,0.849578847832,27,31,64,91
NodeId:53	0.610141734747,0.612294961765,13,2,65,78,95
NodeId:54	0.688223937541,0.690372522843,12,69,77
NodeId:55	0.690925181257,0.693422317869,10,19,22,25,51,58,62
NodeId:56	0.54768426695,0.54947672694,29,36,80,96,98
NodeId:57	0.825233486529,0.828669457504,86,94,96,98
NodeId:58	0.874227383755,0.877661369705,16,38,71,73,78
NodeId:59	0.508794746211,0.51027046754,10,24,69,92
NodeId:6	0.695292270522,0.697711206624,15,22,58,80
NodeId:60	0.554845998133,0.556996803215,14,49,53,56,65
NodeId:61	0.711204095471,0.713731242005,18,20,6,9,99
NodeId:62	1.02545590686,1.02931568197,11,22,33,91
NodeId:63	1.75200773177,1.75982762252,3,64,65,72
NodeId:64	1.02270787488,1.02657465326,27,28,3,31,33,39,78
NodeId:65	1.0034433814,1.00705583126,27,88
NodeId:66	1.02389984137,1.02771908643,19,72,8,81,83,98
NodeId:67	0.703407089343,0.705851928396,2,26,30,31,32,45
NodeId:68	0.900180179696,0.904181567639,1,19,28,40,6,81,85
NodeId:69	0.893082715227,0.896519406202,12,22,42,46,55,72,88
NodeId:7	1.01208676268,1.01581954006,12,21,38,57,93
NodeId:70	1.22269989707,1.22798626667,20,63,99
NodeId:71	1.52986719889,1.53672339797,15,16,45,84,97
NodeId:72	1.95850166482,1.96681261416,10,49,51,92,93,95
NodeId:73	0.543991932772,0.5456606711,41,50,51,84,92
NodeId:74	0.432723852816,0.433857345531,35,54,84
NodeId:75	0.440024769734,0.441528381214,29,34,37,51,54,65,85,91
NodeId:76	0.908563763952,0.912566843212,9
NodeId:77	0.638455346778,0.640719980566,0,32,37,40,41,44,5,69,79,83,85,86,87
NodeId:78	1.6582475018,1.66518208758,13,19,34,82
NodeId:79	0.972304754361,0.976359103835,0,26,43,74,90
NodeId:8	0.34720720706,0.348039003624,13,41,59,87
NodeId:80	1.19840807712,1.20336020832,31,79
NodeId:81	0.593300933644,0.595000807095,21,26,5,78,93,96
NodeId:82	0.687211044482,0.69009672066,2,23,24,32,52,53
NodeId:83	1.2881782994,1.29340798147,1,10,18,27,29,4,70
NodeId:84	1.07531610765,1.07960309687,21,9
NodeId:85	0.702720457632,0.705079269454,32,54,57,64,69,90,99
NodeId:86	1.34983110349,1.35577973162,11,60,71,95
NodeId:87	0.484459228538,0.485775715914,19,20,27,30,47,54,63,8
NodeId:88	1.28838813638,1.29430482968,21,26,44,50,55,82
NodeId:89	0.560756103573,0.562828858331,16,32,35,38,40,57,58
NodeId:9	1.69073786781,1.6969826572,33,39,41,43,51,69,80
NodeId:90	0.925359700817,0.92912812298,1,26,52,93,96
NodeId:91	0.754736107901,0.757407385405,12,24,66,81,95
NodeId:92	1.63345075711,1.64039478616,22,34,39,57
NodeId:93	0.969300429689,0.973509913292,15,43,66,75
NodeId:94	1.06890965457,1.0730440701,17,20,4,90
NodeId:95	1.4092776137,1.41535608787,76,88
NodeId:96	0.821003012819,0.824066859978,12,13,24,31,60,74
NodeId:97	1.08615829011,1.09047817898,37,50,62,89
NodeId:98	1.13846530134,1.14264859458,13,15,28,49,5,66,92,94
NodeId:99	1.19268000474,1.19722687893,1,83
