0.0	0.810384615385
1.0	1.20035714286
2.0	1.21351190476
3.0	0.590178571428
4.0	0.72003968254
5.0	0.633301282052
6.0	0.810773809524
7.0	1.0
8.0	0.397916666667
9.0	1.83785714286
10.0	0.868452380952
11.0	0.575
12.0	1.24892857143
13.0	0.992916666667
14.0	0.49
15.0	1.27625
16.0	0.611428571428
17.0	0.645833333333
18.0	1.25702380952
19.0	0.853273809524
20.0	1.24083333333
21.0	1.40611111111
22.0	1.03035714286
23.0	0.674166666667
24.0	1.36563492064
25.0	0.894761904762
26.0	0.915000000001
27.0	1.41285714286
28.0	0.954464285714
29.0	0.823928571428
30.0	1.0
31.0	2.12726190476
32.0	1.12407509158
33.0	0.945357142857
34.0	0.7875
35.0	0.724761904762
36.0	0.93625
37.0	1.41246794872
38.0	1.37035714286
39.0	1.22160714286
40.0	0.79217032967
41.0	1.10889652015
42.0	0.696428571428
43.0	0.823928571428
44.0	0.739551282052
45.0	1.65166666667
46.0	0.802678571428
47.0	0.5325
49.0	1.0080952381
50.0	0.917023809524
51.0	0.932202380952
52.0	1.05666666667
53.0	0.709583333334
54.0	0.873511904761
55.0	0.655952380952
56.0	0.626944444444
57.0	0.775357142857
58.0	0.959523809524
59.0	0.575
60.0	0.504166666667
61.0	0.972678571428
62.0	1.07892857143
63.0	1.92083333333
64.0	1.01517857143
65.0	1.085
66.0	1.17
67.0	0.841468253968
68.0	0.839444444444
69.0	1.06032509157
70.0	1.10017857143
71.0	1.44625
72.0	1.82267857143
73.0	0.7025
74.0	0.461666666667
75.0	0.46875
76.0	0.745
77.0	0.752083333333
78.0	1.95726190476
79.0	1.08663461538
80.0	1.38587301587
81.0	0.704523809524
82.0	0.504166666667
83.0	1.19996794872
84.0	1.22666666667
85.0	0.670741758242
86.0	1.4714957265
87.0	0.640384615385
88.0	1.12142857143
89.0	0.823928571428
90.0	0.89003968254
91.0	0.89375
92.0	1.75791666667
93.0	0.894761904762
94.0	1.01517857143
95.0	1.2975
96.0	1.05666666667
97.0	0.8725
98.0	1.37035714286
99.0	1.53226190476
-101.0	1.0,1,83
-100.0	1.0,5,13,15,28,49,66,92,94
-99.0	1.0,37,50,62,89
-98.0	1.0,12,13,24,31,60,74
-97.0	1.0,76,88
-96.0	1.0,4,17,20,90
-95.0	1.0,15,43,66,75
-94.0	1.0,22,34,39,57
-93.0	1.0,12,24,66,81,95
-92.0	1.0,1,26,52,93,96
-91.0	0.999999999999,16,32,35,38,40,57,58
-90.0	1.0,21,26,44,50,55,82
-89.0	1.0,8,19,20,27,30,47,54,63
-88.0	1.0,11,60,71,95
-87.0	0.999999999999,32,54,57,64,69,90,99
-86.0	1.0,9,21
-85.0	0.999999999999,1,4,10,18,27,29,70
-84.0	1.0,2,23,24,32,52,53
-83.0	1.0,5,21,26,78,93,96
-82.0	1.0,31,79
-81.0	1.0,0,26,43,74,90
-80.0	1.0,13,19,34,82
-79.0	1.0,0,5,32,37,40,41,44,69,79,83,85,86,87
-78.0	1.0,9
-77.0	1.0,29,34,37,51,54,65,85,91
-76.0	0.999999999999,35,54,84
-75.0	1.0,41,50,51,84,92
-74.0	1.0,10,49,51,92,93,95
-73.0	1.0,15,16,45,84,97
-72.0	0.999999999999,20,63,99
-71.0	0.999999999999,12,22,42,46,55,72,88
-70.0	0.999999999999,1,6,19,28,40,81,85
-69.0	1.0,2,26,30,31,32,45
-68.0	1.0,8,19,72,81,83,98
-67.0	1.0,27,88
-66.0	0.999999999999,3,27,28,31,33,39,78
-65.0	1.0,3,64,65,72
-64.0	1.0,11,22,33,91
-63.0	1.0,6,9,18,20,99
-62.0	1.0,14,49,53,56,65
-61.0	1.0,10,24,69,92
-60.0	1.0,16,38,71,73,78
-59.0	1.0,86,94,96,98
-58.0	1.0,29,36,80,96,98
-57.0	0.999999999999,10,19,22,25,51,58,62
-56.0	0.999999999999,12,69,77
-55.0	1.0,2,13,65,78,95
-54.0	1.0,27,31,64,91
-53.0	1.0,38,45,61,71
-52.0	1.0,0,20,46,68
-51.0	1.0,2,29,31,39,84
-50.0	1.0,18,39,61,79,89
-49.0	1.0,5,14,52,70,73
-48.0	1.0,78
-47.0	1.0,18,53,58,83,86,90
-46.0	0.999999999999,17,37,38
-45.0	0.999999999999,4,21,24,56,67,68,80,86,90
-44.0	1.0,36,45,70,89,99
-43.0	1.0,44,45,49,66
-42.0	1.0,7,71,72,73
-41.0	1.0,31,43,68,71,92
-40.0	0.999999999999,30,41,98
-39.0	1.0,40,59,71,97
-38.0	1.0,12,20,30,34,61,75,77,99
-37.0	1.0,12,18,62,64,65,66,83,91
-36.0	1.0,0,7,77,78
-35.0	1.0,2,56,58,86
-34.0	1.0,2,3,6,27,47,69,71,91
-33.0	1.0,29,36,46,49,54,62,70,85
-32.0	0.999999999999,80,84,95
-31.0	1.0,18,23,31,36,86
-30.0	0.999999999999,21,25,72
-29.0	1.0,32,68,70,92
-28.0	1.0,15,23,28,64
-27.0	1.0,63
-26.0	0.999999999999,9,10,18,38,55,93,94
-25.0	1.0,92,99
-24.0	1.0,25,65,72,83,97
-22.0	1.0,7,94
-21.0	1.0,27,33,37,45,92
-20.0	1.0,52,61,62,87
-19.0	1.0,18,39,41,53,63,72,79,99
-18.0	1.0,45,52,67,80
-17.0	1.0,47,70,79,95,97
-16.0	1.0,36,39,44,62,98
-15.0	1.0,25,32,33,35,76
-14.0	0.999999999999,24,28,50,55,67,85,98
-13.0	0.999999999999,6,28,40,49,51,67,89
-12.0	1.0,4,6,38,67,78,80
-11.0	0.999999999999,33,39,41,43,51,69,80
-10.0	1.0,13,41,59,87
-9.0	1.0,12,21,38,57,93
-8.0	1.0,15,22,58,80
-7.0	0.999999999999,2,9,24,50,61,81,98
-6.0	1.0,24,42,46,86
-5.0	1.0,30,42,45,86
-4.0	1.0,31,63
-3.0	1.0,37,72
-2.0	1.0,1,15,66,96
